"","assembly","dipcall_contig","Filter","Subtype","Subset","INDEL.QUERY.FP","INDEL.Subset.IS_CONF.Size","INDEL.FP.gt","INDEL.FP.al","INDEL.Recall","INDEL.TRUTH.TOTAL","INDEL.TRUTH.TP","INDEL.TRUTH.TP.het","INDEL.TRUTH.TP.homalt","INDEL.TRUTH.TOTAL.het","INDEL.TRUTH.TOTAL.homalt","INDEL.ntTRUTH.TOTAL.het","INDEL.ntTRUTH.TOTAL.homalt","INDEL.ntTRUTH.TOTAL","SNP.QUERY.FP","SNP.Subset.IS_CONF.Size","SNP.FP.gt","SNP.FP.al","SNP.Recall","SNP.TRUTH.TOTAL","SNP.TRUTH.TP","SNP.TRUTH.TP.het","SNP.TRUTH.TP.homalt","SNP.TRUTH.TOTAL.het","SNP.TRUTH.TOTAL.homalt","SNP.ntTRUTH.TOTAL.het","SNP.ntTRUTH.TOTAL.homalt","SNP.ntTRUTH.TOTAL","QV_dip_snp","QV_dip_indel","QV_dip_snp_indel","QV_hap_snp","QV_ignoreGT_snp","QV_hap_indel","QV_ignoreGT_indel","QV_hap_snp_indel","QV_ignoreGT_snp_indel","SNP.Recall_ignoreGT","INDEL.Recall_ignoreGT","SNP.Recall.het","SNP.Recall.hom","INDEL.Recall.het","INDEL.Recall.hom","SNP.Recall.het.TOTALnontarget","SNP.Recall.hom.TOTALnontarget","INDEL.Recall.het.TOTALnontarget","INDEL.Recall.hom.TOTALnontarget","SNP.Recall_ignoreGT.TOTALnontarget","SNP.Recall.TOTALnontarget"
"1","asm10ab",10,"PASS","*","*",40829,2547040186,12434,7161,0.957681,520542,498513,277136,190517,293819,191765,296722,194171,526114,167878,2547040186,45782,10971,0.972143,3314127,3221807,1942156,1278407,2032482,1280345,2060642,1303409,3365358,44.8207200613476,50.9609704963415,43.8752877729692,46.612540187971,46.2036435656499,53.8003397975421,52.5382391975589,45.8531231546104,45.2955526472066,0.985957689611774,0.981567289479043,0.955558770016167,0.998486345477196,0.955558770016167,0.998486345477196,0.942500444036373,0.980817993431072,0.942500444036373,0.980817993431072,0.970948410243427,0.957344508370283
"2","asm10ab",10,"PASS","*","GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz",13387,62855663,5876,2585,0.956236,228499,218499,119472,84376,126856,85269,127695,86040,230210,3101,62855663,1338,271,0.971154,99043,96186,57855,38271,60643,38336,61109,38713,99886,46.0787264110427,39.7269114395331,38.8220642857044,49.2560558420495,48.5312209504228,44.0687999983852,42.2367664536139,42.9197469458211,41.3210731578181,0.984663227083186,0.981951780970595,0.954026021140115,0.998304465776294,0.954026021140115,0.998304465776294,0.946750887757941,0.988582646656162,0.946750887757941,0.988582646656162,0.976353042468414,0.96295777185992
"3","asm10ab",10,"PASS","*","GRCh38_HG002_GIABv4.1_notin_complexandSVs_alldifficultregions.bed.gz",5808,2122523462,2125,1209,0.970921,144607,140402,82094,58308,86292,58315,86735,58695,145430,34652,2122523462,33215,118,0.973192,2497497,2430544,1466564,963980,1533511,963986,1541626,969978,2511604,50.8815418949414,58.6385588752907,50.2085661678633,65.0763769967475,64.7042572708689,62.3448279992801,60.616807763662,60.4889965251832,59.1861253424528,0.986491275064595,0.985616187321499,0.956343971448526,0.999993775843218,0.956343971448526,0.999993775843218,0.951309850767955,0.993816354597733,0.951309850767955,0.993816354597733,0.980950420528077,0.967725803908578
"4","asm10ab",10,"PASS","*","GRCh38_MHC.bed.gz",52,4664474,9,27,0.982614,1783,1752,1032,562,1043,572,1045,574,1787,90,4664474,13,14,0.998793,19888,19864,12231,7352,12249,7356,12263,7369,19915,50.1559016286512,52.5382932866964,48.1754432792138,51.7049212285086,50.8334194713196,57.6571268964852,53.3636421672485,50.72205581014,48.9065142625682,0.999446902654867,0.987661245092541,0.998530492285085,0.999456226209897,0.998530492285085,0.999456226209897,0.997390524341515,0.997693038404125,0.997390524341515,0.997693038404125,0.998091890534773,0.997439116244037
"5","asm10ab",10,"PASS","*","GRCh38_notinAllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz",27529,2479539349,6576,4607,0.958728,292859,280772,158162,106269,167504,106626,169574,108261,296728,164777,2479539349,44444,10700,0.972174,3215090,3125627,1884303,1240138,1971841,1242011,1999535,1264698,3265478,44.7850440872939,52.5561056458374,44.1140816581643,46.5545970205776,46.1501625622085,54.8198950579059,53.7415478738278,45.95102843702,45.4530187054163,0.985997592602384,0.981182070552723,0.955605954029762,0.998491961826425,0.955605954029762,0.998491961826425,0.942370601164771,0.980580344082145,0.942370601164771,0.980580344082145,0.97078314415225,0.957172885562236
"6","asm10ab",10,"PASS","*","GRCh38_notinAllTandemRepeatsandHomopolymers_slop5.bed.gz",20690,2420923008,2723,3041,0.970058,184258,178741,104158,74418,109498,74584,111015,75820,187012,160534,2420923008,43191,10133,0.9722,3132699,3045609,1835630,1208824,1920845,1210648,1948025,1232911,3182149,44.7944394649328,53.6925048290242,44.2679526158852,46.5477567755591,46.1555378634038,55.1106753628377,54.3053540576428,45.9816728098325,45.5368107952534,0.985986843932341,0.984836479284482,0.95563671196791,0.998493368840489,0.95563671196791,0.998493368840489,0.942303101859576,0.980463310003723,0.942303101859576,0.980463310003723,0.970664792880535,0.957091889788945
"7","asm10ab",10,"PASS","*","GRCh38_notinalldifficultregions.bed.gz",6054,2135763155,2271,1301,0.970852,156066,151517,88417,62999,92898,63059,93383,63478,156970,37417,2135763155,35963,129,0.97338,2721864,2649408,1598670,1050012,1671023,1050073,1679847,1056621,2737239,50.5751412176505,58.4854066907612,49.9238345494943,65.0836720742384,64.6801867917365,62.3578130853396,60.5274674440393,60.500002088823,59.1150051179518,0.986592643864646,0.985403611292658,0.956701373948773,0.999941908800626,0.956701373948773,0.999941908800626,0.951675956203154,0.993745155547732,0.951675956203154,0.993745155547732,0.981050978741717,0.967912557142434
"8","asm10ab",10,"PASS","*","GRCh38_notinalllowmapandsegdupregions.bed.gz",23917,2397123054,11974,5067,0.958358,505472,484423,269129,184725,285099,185761,286581,186982,508379,42604,2397123054,40495,366,0.973574,3088518,3006902,1815227,1190569,1896683,1190682,1906597,1198084,3105837,50.5126994834531,53.0201362082928,48.5776155507928,64.3942293724824,63.5664374461875,58.4338445634322,56.0360689205448,57.4526344364663,55.3298218323825,0.986685847386999,0.982046483286908,0.957053445409697,0.999905096406933,0.957053445409697,0.999905096406933,0.952076920293067,0.993727484884198,0.952076920293067,0.993727484884198,0.981183816150043,0.968145462881664
"9","asm10ab",10,"PASS","*","GRCh38_notinsegdups.bed.gz",24197,2458512498,12076,5135,0.958524,512301,491053,273025,187398,289186,188434,290686,189684,515255,44861,2458512498,42294,420,0.973627,3225892,3140816,1896069,1243547,1980970,1243672,1991350,1251467,3244070,50.3983346581204,53.0794089157441,48.5248841953632,63.5987037162232,62.8227654738713,58.4747383475694,56.0816396482843,57.3108895841066,55.2473975220141,0.986737931710051,0.982096462821662,0.957141703306966,0.999899491184171,0.957141703306966,0.999899491184171,0.952152559821227,0.993671427213023,0.952152559821227,0.993671427213023,0.981208790192567,0.968171463624398
"10","asm10ab",10,"PASS","*","GRCh38_segdups.bed.gz",16634,83882514,359,2027,0.905063,8237,7455,4108,3117,4630,3329,6033,4485,10855,123017,83882514,3488,10551,0.917901,88235,80991,46087,34860,51512,36673,69292,51942,121288,31.3473630193819,40.0370473652315,30.796573837665,31.8736260034407,31.4722814753269,40.7094752721534,40.1318043643029,31.3399908245569,30.9178887173529,0.957431858106194,0.948646351827122,0.894684733654294,0.950563084558122,0.894684733654294,0.950563084558122,0.665112855740922,0.671133187016287,0.665112855740922,0.671133187016287,0.696515731152299,0.66775773365873
