Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.222792,0.016053,0.102268,0.029948,104110,780318,2809068885,2547072170.000000,0.000000,523273,.,.,294993.000000,193213.000000,,1.5267761486,116581,.,.,28.000000,116525.000000,,0.000240291782879,406692,.,.,294965.000000,76688.000000,,3.84629929063,8054631,.,.,0.000000,8054631.000000,,0.0,116076,.,.,0.000000,116076.000000,,0.0,7114820,.,.,0.000000,7114820.000000,,0.0,823735,.,.,0.000000,823735.000000,,0.0
INDEL,*,*,PASS,*,QUAL,*,0.222792,0.016053,0.102268,0.029948,104110,780318,2809068885,2547072170.000000,0.000000,523273,.,.,294993.000000,193213.000000,,1.5267761486,116581,.,.,28.000000,116525.000000,,0.000240291782879,406692,.,.,294965.000000,76688.000000,,3.84629929063,8054631,.,.,0.000000,8054631.000000,,0.0,116076,.,.,0.000000,116076.000000,,0.0,7114820,.,.,0.000000,7114820.000000,,0.0,823735,.,.,0.000000,823735.000000,,0.0
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.091367,0.010622,0.180743,0.019032,30860,289717,83977437.000000,62855664.000000,0.000000,229274,.,.,127134.000000,85737.000000,,1.48283704818,20948,.,.,11.000000,20926.000000,,0.000525661856064,208326,.,.,127123.000000,64811.000000,,1.96144173057,2396469,.,.,0.000000,2396469.000000,,0.0,20855,.,.,0.000000,20855.000000,,0.0,1942469,.,.,0.000000,1942469.000000,,0.0,433145,.,.,0.000000,433145.000000,,0.0
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.091367,0.010622,0.180743,0.019032,30860,289717,83977437.000000,62855664.000000,0.000000,229274,.,.,127134.000000,85737.000000,,1.48283704818,20948,.,.,11.000000,20926.000000,,0.000525661856064,208326,.,.,127123.000000,64811.000000,,1.96144173057,2396469,.,.,0.000000,2396469.000000,,0.0,20855,.,.,0.000000,20855.000000,,0.0,1942469,.,.,0.000000,1942469.000000,,0.0,433145,.,.,0.000000,433145.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.323807,0.064507,0.74554,0.107583,1723,4983,38076769.000000,13780238.000000,0.000000,7418,.,.,4376.000000,2661.000000,,1.64449455092,2402,.,.,1.000000,2400.000000,,0.000416666666667,5016,.,.,4375.000000,261.000000,,16.7624521073,145359,.,.,0.000000,145359.000000,,0.0,2386,.,.,0.000000,2386.000000,,0.0,34602,.,.,0.000000,34602.000000,,0.0,108371,.,.,0.000000,108371.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.323807,0.064507,0.74554,0.107583,1723,4983,38076769.000000,13780238.000000,0.000000,7418,.,.,4376.000000,2661.000000,,1.64449455092,2402,.,.,1.000000,2400.000000,,0.000416666666667,5016,.,.,4375.000000,261.000000,,16.7624521073,145359,.,.,0.000000,145359.000000,,0.0,2386,.,.,0.000000,2386.000000,,0.0,34602,.,.,0.000000,34602.000000,,0.0,108371,.,.,0.000000,108371.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.240119,0.099516,0.401976,0.140714,8125,14795,26604713.000000,19582480.000000,0.000000,32234,.,.,17802.000000,9302.000000,,1.91378198237,7740,.,.,10.000000,7721.000000,,0.00129516901956,24494,.,.,17792.000000,1581.000000,,11.2536369386,128627,.,.,0.000000,128627.000000,,0.0,7655,.,.,0.000000,7655.000000,,0.0,69267,.,.,0.000000,69267.000000,,0.0,51705,.,.,0.000000,51705.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.240119,0.099516,0.401976,0.140714,8125,14795,26604713.000000,19582480.000000,0.000000,32234,.,.,17802.000000,9302.000000,,1.91378198237,7740,.,.,10.000000,7721.000000,,0.00129516901956,24494,.,.,17792.000000,1581.000000,,11.2536369386,128627,.,.,0.000000,128627.000000,,0.0,7655,.,.,0.000000,7655.000000,,0.0,69267,.,.,0.000000,69267.000000,,0.0,51705,.,.,0.000000,51705.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,30012,.,.,0.000000,30012.000000,,0.0,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,30012,.,.,0.000000,30012.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,30012,.,.,0.000000,30012.000000,,0.0,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,30012,.,.,0.000000,30012.000000,,0.0
