Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.367749,0.450359,0.41705,0.404883,172543,50340,2809068885,2547086584.000000,0.000000,524812,.,.,296018.000000,193599.000000,,1.52902649291,192999,.,.,31.000000,192937.000000,,0.000160674209716,331813,.,.,295987.000000,662.000000,,447.110271903,732092,.,.,0.000000,732092.000000,,0.0,192201,.,.,0.000000,192201.000000,,0.0,234572,.,.,0.000000,234572.000000,,0.0,305319,.,.,0.000000,305319.000000,,0.0
INDEL,*,*,PASS,*,QUAL,*,0.367749,0.450359,0.41705,0.404883,172543,50340,2809068885,2547086584.000000,0.000000,524812,.,.,296018.000000,193599.000000,,1.52902649291,192999,.,.,31.000000,192937.000000,,0.000160674209716,331813,.,.,295987.000000,662.000000,,447.110271903,732092,.,.,0.000000,732092.000000,,0.0,192201,.,.,0.000000,192201.000000,,0.0,234572,.,.,0.000000,234572.000000,,0.0,305319,.,.,0.000000,305319.000000,,0.0
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.37228,0.489518,0.517704,0.422924,77038,10695,83977437.000000,62855669.000000,0.000000,229932,.,.,127552.000000,85911.000000,,1.48469928181,85599,.,.,9.000000,85581.000000,,0.000105163529288,144333,.,.,127543.000000,330.000000,,386.493939394,361384,.,.,0.000000,361384.000000,,0.0,85320,.,.,0.000000,85320.000000,,0.0,88974,.,.,0.000000,88974.000000,,0.0,187090,.,.,0.000000,187090.000000,,0.0
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.37228,0.489518,0.517704,0.422924,77038,10695,83977437.000000,62855669.000000,0.000000,229932,.,.,127552.000000,85911.000000,,1.48469928181,85599,.,.,9.000000,85581.000000,,0.000105163529288,144333,.,.,127543.000000,330.000000,,386.493939394,361384,.,.,0.000000,361384.000000,,0.0,85320,.,.,0.000000,85320.000000,,0.0,88974,.,.,0.000000,88974.000000,,0.0,187090,.,.,0.000000,187090.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.358259,0.451766,0.876761,0.399615,2442,528,38076769.000000,13780238.000000,0.000000,7489,.,.,4417.000000,2688.000000,,1.64322916667,2683,.,.,1.000000,2681.000000,,0.000372995151063,4806,.,.,4416.000000,7.000000,,630.857142857,47777,.,.,0.000000,47777.000000,,0.0,2660,.,.,0.000000,2660.000000,,0.0,3228,.,.,0.000000,3228.000000,,0.0,41889,.,.,0.000000,41889.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.358259,0.451766,0.876761,0.399615,2442,528,38076769.000000,13780238.000000,0.000000,7489,.,.,4417.000000,2688.000000,,1.64322916667,2683,.,.,1.000000,2681.000000,,0.000372995151063,4806,.,.,4416.000000,7.000000,,630.857142857,47777,.,.,0.000000,47777.000000,,0.0,2660,.,.,0.000000,2660.000000,,0.0,3228,.,.,0.000000,3228.000000,,0.0,41889,.,.,0.000000,41889.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.287014,0.376955,0.588975,0.325893,11950,2553,26604713.000000,19582480.000000,0.000000,32305,.,.,17838.000000,9326.000000,,1.91271713489,9272,.,.,11.000000,9250.000000,,0.00118918918919,23033,.,.,17827.000000,76.000000,,234.565789474,59101,.,.,0.000000,59101.000000,,0.0,9157,.,.,0.000000,9157.000000,,0.0,15135,.,.,0.000000,15135.000000,,0.0,34809,.,.,0.000000,34809.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.287014,0.376955,0.588975,0.325893,11950,2553,26604713.000000,19582480.000000,0.000000,32305,.,.,17838.000000,9326.000000,,1.91271713489,9272,.,.,11.000000,9250.000000,,0.00118918918919,23033,.,.,17827.000000,76.000000,,234.565789474,59101,.,.,0.000000,59101.000000,,0.0,9157,.,.,0.000000,9157.000000,,0.0,15135,.,.,0.000000,15135.000000,,0.0,34809,.,.,0.000000,34809.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3579,.,.,0.000000,3579.000000,,0.0,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3579,.,.,0.000000,3579.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3579,.,.,0.000000,3579.000000,,0.0,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3579,.,.,0.000000,3579.000000,,0.0
