Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.978511,0.972437,0.445345,0.975464,6413,2983,2809068885,2547089209.000000,0.000000,524786,.,.,296002.000000,193631.000000,,1.52869117032,513509,.,.,288498.000000,193108.000000,,1.49397228494,11277,.,.,7504.000000,523.000000,,14.3479923518,986056,.,.,636003.000000,315492.000000,,2.01590848579,531846,.,.,330001.000000,192225.000000,,1.71674339966,15075,.,.,8690.000000,5850.000000,,1.48547008547,439135,.,.,297312.000000,117417.000000,,2.53210352845
INDEL,*,*,PASS,*,QUAL,*,0.978511,0.972437,0.445345,0.975464,6413,2983,2809068885,2547089209.000000,0.000000,524786,.,.,296002.000000,193631.000000,,1.52869117032,513509,.,.,288498.000000,193108.000000,,1.49397228494,11277,.,.,7504.000000,523.000000,,14.3479923518,986056,.,.,636003.000000,315492.000000,,2.01590848579,531846,.,.,330001.000000,192225.000000,,1.71674339966,15075,.,.,8690.000000,5850.000000,,1.48547008547,439135,.,.,297312.000000,117417.000000,,2.53210352845
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.979299,0.976469,0.532765,0.977882,2873,1175,83977437.000000,62855666.000000,0.000000,229795,.,.,127479.000000,85868.000000,,1.48459263055,225038,.,.,124210.000000,85490.000000,,1.45291847,4757,.,.,3269.000000,378.000000,,8.64814814815,512903,.,.,328259.000000,164388.000000,,1.99685500158,234007,.,.,144300.000000,85137.000000,,1.69491525424,5639,.,.,3001.000000,2356.000000,,1.27376910017,273257,.,.,180958.000000,76895.000000,,2.35331295923
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.979299,0.976469,0.532765,0.977882,2873,1175,83977437.000000,62855666.000000,0.000000,229795,.,.,127479.000000,85868.000000,,1.48459263055,225038,.,.,124210.000000,85490.000000,,1.45291847,4757,.,.,3269.000000,378.000000,,8.64814814815,512903,.,.,328259.000000,164388.000000,,1.99685500158,234007,.,.,144300.000000,85137.000000,,1.69491525424,5639,.,.,3001.000000,2356.000000,,1.27376910017,273257,.,.,180958.000000,76895.000000,,2.35331295923
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.980086,0.979786,0.886926,0.979936,67,36,38076769.000000,13780238.000000,0.000000,7482,.,.,4415.000000,2683.000000,,1.64554603056,7333,.,.,4298.000000,2681.000000,,1.60313315927,149,.,.,117.000000,2.000000,,58.5,67814,.,.,48859.000000,16397.000000,,2.97975239373,7513,.,.,4771.000000,2654.000000,,1.79766390354,155,.,.,86.000000,66.000000,,1.30303030303,60146,.,.,44002.000000,13677.000000,,3.21722599985
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.980086,0.979786,0.886926,0.979936,67,36,38076769.000000,13780238.000000,0.000000,7482,.,.,4415.000000,2683.000000,,1.64554603056,7333,.,.,4298.000000,2681.000000,,1.60313315927,149,.,.,117.000000,2.000000,,58.5,67814,.,.,48859.000000,16397.000000,,2.97975239373,7513,.,.,4771.000000,2654.000000,,1.79766390354,155,.,.,86.000000,66.000000,,1.30303030303,60146,.,.,44002.000000,13677.000000,,3.21722599985
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.948343,0.951813,0.601546,0.950074,1001,502,26604713.000000,19582480.000000,0.000000,32309,.,.,17842.000000,9330.000000,,1.91232583065,30640,.,.,16949.000000,9299.000000,,1.8226691042,1669,.,.,893.000000,31.000000,,28.8064516129,88123,.,.,64305.000000,20037.000000,,3.20931277137,33421,.,.,23340.000000,9174.000000,,2.54414650098,1692,.,.,742.000000,888.000000,,0.835585585586,53010,.,.,40223.000000,9975.000000,,4.03238095238
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.948343,0.951813,0.601546,0.950074,1001,502,26604713.000000,19582480.000000,0.000000,32309,.,.,17842.000000,9330.000000,,1.91232583065,30640,.,.,16949.000000,9299.000000,,1.8226691042,1669,.,.,893.000000,31.000000,,28.8064516129,88123,.,.,64305.000000,20037.000000,,3.20931277137,33421,.,.,23340.000000,9174.000000,,2.54414650098,1692,.,.,742.000000,888.000000,,0.835585585586,53010,.,.,40223.000000,9975.000000,,4.03238095238
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3361,.,.,2161.000000,1104.000000,,1.95742753623,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3361,.,.,2161.000000,1104.000000,,1.95742753623
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3361,.,.,2161.000000,1104.000000,,1.95742753623,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3361,.,.,2161.000000,1104.000000,,1.95742753623
INDEL,*,GRCh38_AllTandemRepeats_gt100bp_slop5.bed.gz,ALL,*,QUAL,*,0.968431,0.967753,0.826256,0.968092,311,156,119934799.000000,20704494.000000,0.000000,17264,.,.,10245.000000,5556.000000,,1.8439524838,16719,.,.,9894.000000,5550.000000,,1.7827027027,545,.,.,351.000000,6.000000,,58.5,103163,.,.,74085.000000,24925.000000,,2.97231695085,17346,.,.,11524.000000,5482.000000,,2.10215249909,578,.,.,296.000000,260.000000,,1.13846153846,85239,.,.,62265.000000,19183.000000,,3.2458426732
INDEL,*,GRCh38_AllTandemRepeats_gt100bp_slop5.bed.gz,PASS,*,QUAL,*,0.968431,0.967753,0.826256,0.968092,311,156,119934799.000000,20704494.000000,0.000000,17264,.,.,10245.000000,5556.000000,,1.8439524838,16719,.,.,9894.000000,5550.000000,,1.7827027027,545,.,.,351.000000,6.000000,,58.5,103163,.,.,74085.000000,24925.000000,,2.97231695085,17346,.,.,11524.000000,5482.000000,,2.10215249909,578,.,.,296.000000,260.000000,,1.13846153846,85239,.,.,62265.000000,19183.000000,,3.2458426732
INDEL,*,GRCh38_AllTandemRepeats_lt51bp_slop5.bed.gz,ALL,*,QUAL,*,0.954916,0.961627,0.428786,0.95826,2538,1093,38085246.000000,29892681.000000,0.000000,94867,.,.,50369.000000,27441.000000,,1.83553806348,90590,.,.,47983.000000,27382.000000,,1.75235556205,4277,.,.,2386.000000,59.000000,,40.4406779661,180799,.,.,125242.000000,44638.000000,,2.805726063,99312,.,.,67402.000000,27121.000000,,2.4852328454,3963,.,.,1384.000000,2360.000000,,0.586440677966,77524,.,.,56456.000000,15157.000000,,3.72474764135
INDEL,*,GRCh38_AllTandemRepeats_lt51bp_slop5.bed.gz,PASS,*,QUAL,*,0.954916,0.961627,0.428786,0.95826,2538,1093,38085246.000000,29892681.000000,0.000000,94867,.,.,50369.000000,27441.000000,,1.83553806348,90590,.,.,47983.000000,27382.000000,,1.75235556205,4277,.,.,2386.000000,59.000000,,40.4406779661,180799,.,.,125242.000000,44638.000000,,2.805726063,99312,.,.,67402.000000,27121.000000,,2.4852328454,3963,.,.,1384.000000,2360.000000,,0.586440677966,77524,.,.,56456.000000,15157.000000,,3.72474764135
INDEL,*,GRCh38_AllTandemRepeatsandHomopolymers_slop5.bed.gz,ALL,*,QUAL,*,0.971447,0.971116,0.532325,0.971281,5790,2484,249348603.000000,121472009.000000,0.000000,338910,.,.,185811.000000,118122.000000,,1.5730431249,329233,.,.,179831.000000,117670.000000,,1.52826548823,9677,.,.,5980.000000,452.000000,,13.2300884956,766040,.,.,504871.000000,227437.000000,,2.21982790839,347910,.,.,221412.000000,116996.000000,,1.89247495641,10348,.,.,4777.000000,5045.000000,,0.946878097126,407782,.,.,278682.000000,105396.000000,,2.64414209268
INDEL,*,GRCh38_AllTandemRepeatsandHomopolymers_slop5.bed.gz,PASS,*,QUAL,*,0.971447,0.971116,0.532325,0.971281,5790,2484,249348603.000000,121472009.000000,0.000000,338910,.,.,185811.000000,118122.000000,,1.5730431249,329233,.,.,179831.000000,117670.000000,,1.52826548823,9677,.,.,5980.000000,452.000000,,13.2300884956,766040,.,.,504871.000000,227437.000000,,2.21982790839,347910,.,.,221412.000000,116996.000000,,1.89247495641,10348,.,.,4777.000000,5045.000000,,0.946878097126,407782,.,.,278682.000000,105396.000000,,2.64414209268
INDEL,*,GRCh38_BadPromoters.bed.gz,ALL,*,QUAL,*,0.976744,0.945055,0.591928,0.960638,1,0,197273.000000,149914.000000,0.000000,86,.,.,50.000000,32.000000,,1.5625,84,.,.,48.000000,32.000000,,1.5,2,.,.,2.000000,0.000000,,,223,.,.,128.000000,85.000000,,1.50588235294,86,.,.,52.000000,32.000000,,1.625,5,.,.,4.000000,1.000000,,4.0,132,.,.,72.000000,52.000000,,1.38461538462
INDEL,*,GRCh38_BadPromoters.bed.gz,PASS,*,QUAL,*,0.976744,0.945055,0.591928,0.960638,1,0,197273.000000,149914.000000,0.000000,86,.,.,50.000000,32.000000,,1.5625,84,.,.,48.000000,32.000000,,1.5,2,.,.,2.000000,0.000000,,,223,.,.,128.000000,85.000000,,1.50588235294,86,.,.,52.000000,32.000000,,1.625,5,.,.,4.000000,1.000000,,4.0,132,.,.,72.000000,52.000000,,1.38461538462
INDEL,*,GRCh38_HG001_GIABv3.2.2_compoundhet_slop50.bed.gz,ALL,*,QUAL,*,0.941853,0.948458,0.523235,0.945144,1354,593,8094883.000000,4475199.000000,0.000000,32968,.,.,10685.000000,10523.000000,,1.01539484938,31051,.,.,10036.000000,10458.000000,,0.959648116275,1917,.,.,649.000000,65.000000,,9.98461538462,83668,.,.,54300.000000,21557.000000,,2.51890337245,37834,.,.,24162.000000,10397.000000,,2.32393959796,2056,.,.,837.000000,1071.000000,,0.781512605042,43778,.,.,29301.000000,10089.000000,,2.90425215581
INDEL,*,GRCh38_HG001_GIABv3.2.2_compoundhet_slop50.bed.gz,PASS,*,QUAL,*,0.941853,0.948458,0.523235,0.945144,1354,593,8094883.000000,4475199.000000,0.000000,32968,.,.,10685.000000,10523.000000,,1.01539484938,31051,.,.,10036.000000,10458.000000,,0.959648116275,1917,.,.,649.000000,65.000000,,9.98461538462,83668,.,.,54300.000000,21557.000000,,2.51890337245,37834,.,.,24162.000000,10397.000000,,2.32393959796,2056,.,.,837.000000,1071.000000,,0.781512605042,43778,.,.,29301.000000,10089.000000,,2.90425215581
INDEL,*,GRCh38_HG001_GIABv3.2.2_varswithin50bp.bed.gz,ALL,*,QUAL,*,0.985342,0.984901,0.445631,0.985121,644,399,62683977.000000,53388320.000000,0.000000,75590,.,.,37513.000000,33387.000000,,1.12358103453,74482,.,.,36942.000000,33263.000000,,1.11060337312,1108,.,.,571.000000,124.000000,,4.60483870968,139297,.,.,83335.000000,51877.000000,,1.60639589799,76056,.,.,41895.000000,32846.000000,,1.27549777751,1166,.,.,566.000000,543.000000,,1.0423572744,62075,.,.,40874.000000,18488.000000,,2.21083946344
INDEL,*,GRCh38_HG001_GIABv3.2.2_varswithin50bp.bed.gz,PASS,*,QUAL,*,0.985342,0.984901,0.445631,0.985121,644,399,62683977.000000,53388320.000000,0.000000,75590,.,.,37513.000000,33387.000000,,1.12358103453,74482,.,.,36942.000000,33263.000000,,1.11060337312,1108,.,.,571.000000,124.000000,,4.60483870968,139297,.,.,83335.000000,51877.000000,,1.60639589799,76056,.,.,41895.000000,32846.000000,,1.27549777751,1166,.,.,566.000000,543.000000,,1.0423572744,62075,.,.,40874.000000,18488.000000,,2.21083946344
INDEL,*,GRCh38_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_alldifficultregions.bed.gz,ALL,*,QUAL,*,0.973558,0.971361,0.516108,0.972458,5919,2628,663294362.000000,433744671.000000,0.000000,380450,.,.,209160.000000,136207.000000,,1.53560389701,370390,.,.,202861.000000,135694.000000,,1.49498872463,10060,.,.,6299.000000,513.000000,,12.2787524366,827092,.,.,539217.000000,253567.000000,,2.1265267168,388761,.,.,244379.000000,134825.000000,,1.81256443538,11462,.,.,5705.000000,5227.000000,,1.09144824947,426869,.,.,289133.000000,113515.000000,,2.54709069286
INDEL,*,GRCh38_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_alldifficultregions.bed.gz,PASS,*,QUAL,*,0.973558,0.971361,0.516108,0.972458,5919,2628,663294362.000000,433744671.000000,0.000000,380450,.,.,209160.000000,136207.000000,,1.53560389701,370390,.,.,202861.000000,135694.000000,,1.49498872463,10060,.,.,6299.000000,513.000000,,12.2787524366,827092,.,.,539217.000000,253567.000000,,2.1265267168,388761,.,.,244379.000000,134825.000000,,1.81256443538,11462,.,.,5705.000000,5227.000000,,1.09144824947,426869,.,.,289133.000000,113515.000000,,2.54709069286
INDEL,*,GRCh38_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_notin_alldifficultregions.bed.gz,ALL,*,QUAL,*,0.991521,0.974863,0.080975,0.983121,496,381,2271586049.000000,2108650348.000000,0.000000,144596,.,.,87155.000000,57372.000000,,1.51912082549,143370,.,.,85942.000000,57361.000000,,1.49826537194,1226,.,.,1213.000000,11.000000,,110.272727273,159987,.,.,97796.000000,61952.000000,,1.57857696281,143336,.,.,85927.000000,57347.000000,,1.49836957469,3696,.,.,3063.000000,628.000000,,4.87738853503,12955,.,.,8806.000000,3977.000000,,2.21423183304
INDEL,*,GRCh38_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_notin_alldifficultregions.bed.gz,PASS,*,QUAL,*,0.991521,0.974863,0.080975,0.983121,496,381,2271586049.000000,2108650348.000000,0.000000,144596,.,.,87155.000000,57372.000000,,1.51912082549,143370,.,.,85942.000000,57361.000000,,1.49826537194,1226,.,.,1213.000000,11.000000,,110.272727273,159987,.,.,97796.000000,61952.000000,,1.57857696281,143336,.,.,85927.000000,57347.000000,,1.49836957469,3696,.,.,3063.000000,628.000000,,4.87738853503,12955,.,.,8806.000000,3977.000000,,2.21423183304
INDEL,*,GRCh38_HG001_GIABv3.3.2_comphetindel10bp_slop50.bed.gz,ALL,*,QUAL,*,0.949216,0.9553,0.317147,0.952248,1027,416,4667039.000000,3336857.000000,0.000000,28395,.,.,9355.000000,9562.000000,,0.978351809245,26953,.,.,8860.000000,9512.000000,,0.931455004205,1442,.,.,495.000000,50.000000,,9.9,49961,.,.,32379.000000,13658.000000,,2.37069849173,32591,.,.,20620.000000,9458.000000,,2.18016493973,1525,.,.,601.000000,822.000000,,0.731143552311,15845,.,.,11158.000000,3378.000000,,3.30313795145
INDEL,*,GRCh38_HG001_GIABv3.3.2_comphetindel10bp_slop50.bed.gz,PASS,*,QUAL,*,0.949216,0.9553,0.317147,0.952248,1027,416,4667039.000000,3336857.000000,0.000000,28395,.,.,9355.000000,9562.000000,,0.978351809245,26953,.,.,8860.000000,9512.000000,,0.931455004205,1442,.,.,495.000000,50.000000,,9.9,49961,.,.,32379.000000,13658.000000,,2.37069849173,32591,.,.,20620.000000,9458.000000,,2.18016493973,1525,.,.,601.000000,822.000000,,0.731143552311,15845,.,.,11158.000000,3378.000000,,3.30313795145
INDEL,*,GRCh38_HG001_GIABv3.3.2_comphetsnp10bp_slop50.bed.gz,ALL,*,QUAL,*,0.988235,0.97151,0.357731,0.979801,5,12,2358284.000000,2216237.000000,0.000000,680,.,.,380.000000,254.000000,,1.49606299213,672,.,.,376.000000,251.000000,,1.49800796813,8,.,.,4.000000,3.000000,,1.33333333333,1093,.,.,732.000000,325.000000,,2.25230769231,682,.,.,420.000000,247.000000,,1.7004048583,20,.,.,16.000000,2.000000,,8.0,391,.,.,296.000000,76.000000,,3.89473684211
