Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.980075,0.971758,0.444816,0.975899,5985,3130,2809068885,2547083974.000000,0.000000,524327,.,.,295585.000000,193609.000000,,1.52671105166,513880,.,.,288767.000000,193056.000000,,1.4957680673,10447,.,.,6818.000000,553.000000,,12.3291139241,986584,.,.,638284.000000,313255.000000,,2.03758599224,532267,.,.,330381.000000,192170.000000,,1.7192121559,15469,.,.,9632.000000,5271.000000,,1.82735723772,438848,.,.,298271.000000,115814.000000,,2.57543129501
INDEL,*,*,PASS,*,QUAL,*,0.980075,0.971758,0.444816,0.975899,5985,3130,2809068885,2547083974.000000,0.000000,524327,.,.,295585.000000,193609.000000,,1.52671105166,513880,.,.,288767.000000,193056.000000,,1.4957680673,10447,.,.,6818.000000,553.000000,,12.3291139241,986584,.,.,638284.000000,313255.000000,,2.03758599224,532267,.,.,330381.000000,192170.000000,,1.7192121559,15469,.,.,9632.000000,5271.000000,,1.82735723772,438848,.,.,298271.000000,115814.000000,,2.57543129501
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.980512,0.97674,0.532354,0.978622,2711,1220,83977437.000000,62855666.000000,0.000000,229632,.,.,127310.000000,85881.000000,,1.48240006521,225157,.,.,124286.000000,85488.000000,,1.45384147483,4475,.,.,3024.000000,393.000000,,7.69465648855,512614,.,.,328840.000000,163268.000000,,2.01411176716,234146,.,.,144415.000000,85136.000000,,1.69628594249,5576,.,.,3122.000000,2153.000000,,1.45006967023,272892,.,.,181303.000000,75979.000000,,2.38622514116
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.980512,0.97674,0.532354,0.978622,2711,1220,83977437.000000,62855666.000000,0.000000,229632,.,.,127310.000000,85881.000000,,1.48240006521,225157,.,.,124286.000000,85488.000000,,1.45384147483,4475,.,.,3024.000000,393.000000,,7.69465648855,512614,.,.,328840.000000,163268.000000,,2.01411176716,234146,.,.,144415.000000,85136.000000,,1.69628594249,5576,.,.,3122.000000,2153.000000,,1.45006967023,272892,.,.,181303.000000,75979.000000,,2.38622514116
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.981266,0.978757,0.887162,0.98001,70,34,38076769.000000,13780238.000000,0.000000,7473,.,.,4413.000000,2676.000000,,1.64910313901,7333,.,.,4307.000000,2674.000000,,1.61069558714,140,.,.,106.000000,2.000000,,53.0,68000,.,.,49194.000000,16222.000000,,3.03254839107,7510,.,.,4775.000000,2647.000000,,1.8039289762,163,.,.,93.000000,66.000000,,1.40909090909,60327,.,.,44326.000000,13509.000000,,3.28121992746
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.981266,0.978757,0.887162,0.98001,70,34,38076769.000000,13780238.000000,0.000000,7473,.,.,4413.000000,2676.000000,,1.64910313901,7333,.,.,4307.000000,2674.000000,,1.61069558714,140,.,.,106.000000,2.000000,,53.0,68000,.,.,49194.000000,16222.000000,,3.03254839107,7510,.,.,4775.000000,2647.000000,,1.8039289762,163,.,.,93.000000,66.000000,,1.40909090909,60327,.,.,44326.000000,13509.000000,,3.28121992746
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.953197,0.953215,0.601202,0.953206,914,534,26604713.000000,19582480.000000,0.000000,32284,.,.,17819.000000,9331.000000,,1.90965598542,30773,.,.,17042.000000,9295.000000,,1.83345884884,1511,.,.,777.000000,36.000000,,21.5833333333,88328,.,.,64906.000000,19557.000000,,3.31881167868,33577,.,.,23482.000000,9170.000000,,2.56074154853,1648,.,.,840.000000,740.000000,,1.13513513514,53103,.,.,40584.000000,9647.000000,,4.20690370063
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.953197,0.953215,0.601202,0.953206,914,534,26604713.000000,19582480.000000,0.000000,32284,.,.,17819.000000,9331.000000,,1.90965598542,30773,.,.,17042.000000,9295.000000,,1.83345884884,1511,.,.,777.000000,36.000000,,21.5833333333,88328,.,.,64906.000000,19557.000000,,3.31881167868,33577,.,.,23482.000000,9170.000000,,2.56074154853,1648,.,.,840.000000,740.000000,,1.13513513514,53103,.,.,40584.000000,9647.000000,,4.20690370063
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3764,.,.,2536.000000,1116.000000,,2.27240143369,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3764,.,.,2536.000000,1116.000000,,2.27240143369
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3764,.,.,2536.000000,1116.000000,,2.27240143369,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3764,.,.,2536.000000,1116.000000,,2.27240143369
INDEL,*,GRCh38_AllTandemRepeats_gt100bp_slop5.bed.gz,ALL,*,QUAL,*,0.972478,0.969117,0.826804,0.970795,280,158,119934799.000000,20704494.000000,0.000000,17259,.,.,10243.000000,5554.000000,,1.84425639179,16784,.,.,9942.000000,5546.000000,,1.79264334656,475,.,.,301.000000,8.000000,,37.625,103761,.,.,74901.000000,24642.000000,,3.03956659362,17416,.,.,11586.000000,5478.000000,,2.11500547645,555,.,.,306.000000,228.000000,,1.34210526316,85790,.,.,63009.000000,18936.000000,,3.32747148289
INDEL,*,GRCh38_AllTandemRepeats_gt100bp_slop5.bed.gz,PASS,*,QUAL,*,0.972478,0.969117,0.826804,0.970795,280,158,119934799.000000,20704494.000000,0.000000,17259,.,.,10243.000000,5554.000000,,1.84425639179,16784,.,.,9942.000000,5546.000000,,1.79264334656,475,.,.,301.000000,8.000000,,37.625,103761,.,.,74901.000000,24642.000000,,3.03956659362,17416,.,.,11586.000000,5478.000000,,2.11500547645,555,.,.,306.000000,228.000000,,1.34210526316,85790,.,.,63009.000000,18936.000000,,3.32747148289
INDEL,*,GRCh38_AllTandemRepeats_lt51bp_slop5.bed.gz,ALL,*,QUAL,*,0.95837,0.963186,0.428673,0.960772,2390,1090,38085246.000000,29892681.000000,0.000000,94811,.,.,50331.000000,27433.000000,,1.83468814931,90864,.,.,48183.000000,27364.000000,,1.760817132,3947,.,.,2148.000000,69.000000,,31.1304347826,181005,.,.,125939.000000,43949.000000,,2.86557145783,99606,.,.,67649.000000,27101.000000,,2.49618095273,3807,.,.,1512.000000,2069.000000,,0.730787820203,77592,.,.,56778.000000,14779.000000,,3.84180255768
INDEL,*,GRCh38_AllTandemRepeats_lt51bp_slop5.bed.gz,PASS,*,QUAL,*,0.95837,0.963186,0.428673,0.960772,2390,1090,38085246.000000,29892681.000000,0.000000,94811,.,.,50331.000000,27433.000000,,1.83468814931,90864,.,.,48183.000000,27364.000000,,1.760817132,3947,.,.,2148.000000,69.000000,,31.1304347826,181005,.,.,125939.000000,43949.000000,,2.86557145783,99606,.,.,67649.000000,27101.000000,,2.49618095273,3807,.,.,1512.000000,2069.000000,,0.730787820203,77592,.,.,56778.000000,14779.000000,,3.84180255768
INDEL,*,GRCh38_AllTandemRepeatsandHomopolymers_slop5.bed.gz,ALL,*,QUAL,*,0.973405,0.971726,0.532214,0.972565,5448,2553,249348603.000000,121472009.000000,0.000000,338672,.,.,185591.000000,118124.000000,,1.57115404152,329665,.,.,180133.000000,117647.000000,,1.53113126557,9007,.,.,5458.000000,477.000000,,11.4423480084,766444,.,.,506814.000000,225419.000000,,2.24831979558,348395,.,.,221825.000000,116973.000000,,1.89637779659,10137,.,.,5093.000000,4489.000000,,1.13455112497,407912,.,.,279896.000000,103957.000000,,2.6924209048
INDEL,*,GRCh38_AllTandemRepeatsandHomopolymers_slop5.bed.gz,PASS,*,QUAL,*,0.973405,0.971726,0.532214,0.972565,5448,2553,249348603.000000,121472009.000000,0.000000,338672,.,.,185591.000000,118124.000000,,1.57115404152,329665,.,.,180133.000000,117647.000000,,1.53113126557,9007,.,.,5458.000000,477.000000,,11.4423480084,766444,.,.,506814.000000,225419.000000,,2.24831979558,348395,.,.,221825.000000,116973.000000,,1.89637779659,10137,.,.,5093.000000,4489.000000,,1.13455112497,407912,.,.,279896.000000,103957.000000,,2.6924209048
INDEL,*,GRCh38_BadPromoters.bed.gz,ALL,*,QUAL,*,0.976744,0.945055,0.591928,0.960638,1,0,197273.000000,149914.000000,0.000000,86,.,.,50.000000,32.000000,,1.5625,84,.,.,48.000000,32.000000,,1.5,2,.,.,2.000000,0.000000,,,223,.,.,126.000000,85.000000,,1.48235294118,86,.,.,52.000000,32.000000,,1.625,5,.,.,4.000000,1.000000,,4.0,132,.,.,70.000000,52.000000,,1.34615384615
INDEL,*,GRCh38_BadPromoters.bed.gz,PASS,*,QUAL,*,0.976744,0.945055,0.591928,0.960638,1,0,197273.000000,149914.000000,0.000000,86,.,.,50.000000,32.000000,,1.5625,84,.,.,48.000000,32.000000,,1.5,2,.,.,2.000000,0.000000,,,223,.,.,126.000000,85.000000,,1.48235294118,86,.,.,52.000000,32.000000,,1.625,5,.,.,4.000000,1.000000,,4.0,132,.,.,70.000000,52.000000,,1.34615384615
INDEL,*,GRCh38_HG001_GIABv3.2.2_compoundhet_slop50.bed.gz,ALL,*,QUAL,*,0.945058,0.949294,0.523143,0.947171,1311,605,8094883.000000,4475199.000000,0.000000,32980,.,.,10682.000000,10531.000000,,1.01433861931,31168,.,.,10097.000000,10457.000000,,0.965573300182,1812,.,.,585.000000,74.000000,,7.90540540541,83914,.,.,54716.000000,21249.000000,,2.57499176432,37986,.,.,24291.000000,10396.000000,,2.33657175837,2029,.,.,915.000000,954.000000,,0.959119496855,43899,.,.,29510.000000,9899.000000,,2.98110920295
INDEL,*,GRCh38_HG001_GIABv3.2.2_compoundhet_slop50.bed.gz,PASS,*,QUAL,*,0.945058,0.949294,0.523143,0.947171,1311,605,8094883.000000,4475199.000000,0.000000,32980,.,.,10682.000000,10531.000000,,1.01433861931,31168,.,.,10097.000000,10457.000000,,0.965573300182,1812,.,.,585.000000,74.000000,,7.90540540541,83914,.,.,54716.000000,21249.000000,,2.57499176432,37986,.,.,24291.000000,10396.000000,,2.33657175837,2029,.,.,915.000000,954.000000,,0.959119496855,43899,.,.,29510.000000,9899.000000,,2.98110920295
INDEL,*,GRCh38_HG001_GIABv3.2.2_varswithin50bp.bed.gz,ALL,*,QUAL,*,0.986083,0.985563,0.446353,0.985823,594,399,62683977.000000,53388320.000000,0.000000,75590,.,.,37493.000000,33411.000000,,1.12217533148,74538,.,.,36957.000000,33282.000000,,1.11042004687,1052,.,.,536.000000,129.000000,,4.15503875969,139495,.,.,83615.000000,51717.000000,,1.61677978228,76116,.,.,41917.000000,32863.000000,,1.27550740955,1115,.,.,585.000000,470.000000,,1.24468085106,62264,.,.,41113.000000,18384.000000,,2.23634682332
INDEL,*,GRCh38_HG001_GIABv3.2.2_varswithin50bp.bed.gz,PASS,*,QUAL,*,0.986083,0.985563,0.446353,0.985823,594,399,62683977.000000,53388320.000000,0.000000,75590,.,.,37493.000000,33411.000000,,1.12217533148,74538,.,.,36957.000000,33282.000000,,1.11042004687,1052,.,.,536.000000,129.000000,,4.15503875969,139495,.,.,83615.000000,51717.000000,,1.61677978228,76116,.,.,41917.000000,32863.000000,,1.27550740955,1115,.,.,585.000000,470.000000,,1.24468085106,62264,.,.,41113.000000,18384.000000,,2.23634682332
INDEL,*,GRCh38_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_alldifficultregions.bed.gz,ALL,*,QUAL,*,0.975363,0.971812,0.515799,0.973584,5558,2688,663294362.000000,433744671.000000,0.000000,380072,.,.,208806.000000,136203.000000,,1.53304993282,370708,.,.,203053.000000,135666.000000,,1.49671251456,9364,.,.,5753.000000,537.000000,,10.7132216015,826962,.,.,540800.000000,251365.000000,,2.15145306626,389129,.,.,244682.000000,134794.000000,,1.8152291645,11287,.,.,6080.000000,4647.000000,,1.30837099204,426546,.,.,290038.000000,111924.000000,,2.59138343876
INDEL,*,GRCh38_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_alldifficultregions.bed.gz,PASS,*,QUAL,*,0.975363,0.971812,0.515799,0.973584,5558,2688,663294362.000000,433744671.000000,0.000000,380072,.,.,208806.000000,136203.000000,,1.53304993282,370708,.,.,203053.000000,135666.000000,,1.49671251456,9364,.,.,5753.000000,537.000000,,10.7132216015,826962,.,.,540800.000000,251365.000000,,2.15145306626,389129,.,.,244682.000000,134794.000000,,1.8152291645,11287,.,.,6080.000000,4647.000000,,1.30837099204,426546,.,.,290038.000000,111924.000000,,2.59138343876
INDEL,*,GRCh38_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_notin_alldifficultregions.bed.gz,ALL,*,QUAL,*,0.992464,0.970971,0.080849,0.9816,427,469,2271586049.000000,2108650348.000000,0.000000,144515,.,.,87092.000000,57354.000000,,1.51849914566,143426,.,.,86021.000000,57338.000000,,1.50024416617,1089,.,.,1071.000000,16.000000,,66.9375,160669,.,.,98519.000000,61915.000000,,1.59119760963,143392,.,.,86006.000000,57324.000000,,1.50034889401,4287,.,.,3651.000000,630.000000,,5.79523809524,12990,.,.,8862.000000,3961.000000,,2.23731380964
INDEL,*,GRCh38_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_notin_alldifficultregions.bed.gz,PASS,*,QUAL,*,0.992464,0.970971,0.080849,0.9816,427,469,2271586049.000000,2108650348.000000,0.000000,144515,.,.,87092.000000,57354.000000,,1.51849914566,143426,.,.,86021.000000,57338.000000,,1.50024416617,1089,.,.,1071.000000,16.000000,,66.9375,160669,.,.,98519.000000,61915.000000,,1.59119760963,143392,.,.,86006.000000,57324.000000,,1.50034889401,4287,.,.,3651.000000,630.000000,,5.79523809524,12990,.,.,8862.000000,3961.000000,,2.23731380964
