Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.292098,0.126001,0.289002,0.176057,110141,335413,2809068885,2547105669.000000,0.000000,526122,.,.,296732.000000,194169.000000,,1.52821511158,153679,.,.,34.000000,153611.000000,,0.000221338315615,372443,.,.,296698.000000,40558.000000,,7.31540016766,1708097,.,.,0.000000,1708097.000000,,0.0,153022,.,.,0.000000,153022.000000,,0.0,1061432,.,.,0.000000,1061432.000000,,0.0,493643,.,.,0.000000,493643.000000,,0.0
INDEL,*,*,PASS,*,QUAL,*,0.292098,0.126001,0.289002,0.176057,110141,335413,2809068885,2547105669.000000,0.000000,526122,.,.,296732.000000,194169.000000,,1.52821511158,153679,.,.,34.000000,153611.000000,,0.000221338315615,372443,.,.,296698.000000,40558.000000,,7.31540016766,1708097,.,.,0.000000,1708097.000000,,0.0,153022,.,.,0.000000,153022.000000,,0.0,1061432,.,.,0.000000,1061432.000000,,0.0,493643,.,.,0.000000,493643.000000,,0.0
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.217719,0.093527,0.36073,0.130846,54358,97477,83977437.000000,62855671.000000,0.000000,230210,.,.,127692.000000,86042.000000,,1.48406592129,50121,.,.,13.000000,50095.000000,,0.00025950693682,180089,.,.,127679.000000,35947.000000,,3.55186802793,835149,.,.,0.000000,835149.000000,,0.0,49933,.,.,0.000000,49933.000000,,0.0,483953,.,.,0.000000,483953.000000,,0.0,301263,.,.,0.000000,301263.000000,,0.0
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.217719,0.093527,0.36073,0.130846,54358,97477,83977437.000000,62855671.000000,0.000000,230210,.,.,127692.000000,86042.000000,,1.48406592129,50121,.,.,13.000000,50095.000000,,0.00025950693682,180089,.,.,127679.000000,35947.000000,,3.55186802793,835149,.,.,0.000000,835149.000000,,0.0,49933,.,.,0.000000,49933.000000,,0.0,483953,.,.,0.000000,483953.000000,,0.0,301263,.,.,0.000000,301263.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.334842,0.176884,0.844174,0.231484,1202,4112,38076769.000000,13780238.000000,0.000000,7511,.,.,4428.000000,2699.000000,,1.64060763246,2515,.,.,1.000000,2513.000000,,0.000397930760048,4996,.,.,4427.000000,186.000000,,23.8010752688,90447,.,.,0.000000,90447.000000,,0.0,2493,.,.,0.000000,2493.000000,,0.0,11601,.,.,0.000000,11601.000000,,0.0,76353,.,.,0.000000,76353.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.334842,0.176884,0.844174,0.231484,1202,4112,38076769.000000,13780238.000000,0.000000,7511,.,.,4428.000000,2699.000000,,1.64060763246,2515,.,.,1.000000,2513.000000,,0.000397930760048,4996,.,.,4427.000000,186.000000,,23.8010752688,90447,.,.,0.000000,90447.000000,,0.0,2493,.,.,0.000000,2493.000000,,0.0,11601,.,.,0.000000,11601.000000,,0.0,76353,.,.,0.000000,76353.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.260651,0.214534,0.540197,0.235354,6000,14670,26604713.000000,19582480.000000,0.000000,32369,.,.,17868.000000,9353.000000,,1.91040307923,8437,.,.,9.000000,8420.000000,,0.00106888361045,23932,.,.,17859.000000,933.000000,,19.1414790997,84608,.,.,0.000000,84608.000000,,0.0,8346,.,.,0.000000,8346.000000,,0.0,30557,.,.,0.000000,30557.000000,,0.0,45705,.,.,0.000000,45705.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.260651,0.214534,0.540197,0.235354,6000,14670,26604713.000000,19582480.000000,0.000000,32369,.,.,17868.000000,9353.000000,,1.91040307923,8437,.,.,9.000000,8420.000000,,0.00106888361045,23932,.,.,17859.000000,933.000000,,19.1414790997,84608,.,.,0.000000,84608.000000,,0.0,8346,.,.,0.000000,8346.000000,,0.0,30557,.,.,0.000000,30557.000000,,0.0,45705,.,.,0.000000,45705.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,7610,.,.,0.000000,7610.000000,,0.0,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,7610,.,.,0.000000,7610.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,7610,.,.,0.000000,7610.000000,,0.0,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,7610,.,.,0.000000,7610.000000,,0.0
