Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.898037,0.670915,0.404613,0.768037,25594,45534,2809068885,2547105669.000000,0.000000,526110,.,.,296720.000000,194170.000000,,1.52814543956,472466,.,.,262273.000000,185114.000000,,1.41681882516,53644,.,.,34447.000000,9056.000000,,3.80377650177,1217362,.,.,864841.000000,310311.000000,,2.78701367338,486280,.,.,294211.000000,184260.000000,,1.59671659611,238521,.,.,219564.000000,14884.000000,,14.751679656,492561,.,.,351066.000000,111167.000000,,3.15800552322
INDEL,*,*,PASS,*,QUAL,*,0.897751,0.671386,0.402335,0.768241,25537,45482,2809068885,2547105669.000000,0.000000,526110,.,.,296720.000000,194170.000000,,1.52814543956,472316,.,.,262273.000000,184964.000000,,1.41796782077,53794,.,.,34447.000000,9206.000000,,3.74179882685,1211502,.,.,864841.000000,304451.000000,,2.8406574457,486132,.,.,294211.000000,184112.000000,,1.59800013036,237940,.,.,219564.000000,14303.000000,,15.3509054045,487430,.,.,351066.000000,106036.000000,,3.31081896714
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.850916,0.690986,0.509496,0.762657,18126,21213,83977437.000000,62855671.000000,0.000000,230206,.,.,127691.000000,86041.000000,,1.48407154729,195886,.,.,106444.000000,78017.000000,,1.36436930413,34320,.,.,21247.000000,8024.000000,,2.64793120638,597068,.,.,414568.000000,155339.000000,,2.66879534438,202365,.,.,121159.000000,77688.000000,,1.55955874781,90499,.,.,78462.000000,9328.000000,,8.41144939966,304204,.,.,214947.000000,68323.000000,,3.14604159653
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.850825,0.6912,0.508217,0.762751,18111,21202,83977437.000000,62855671.000000,0.000000,230206,.,.,127691.000000,86041.000000,,1.48407154729,195865,.,.,106444.000000,77996.000000,,1.36473665316,34341,.,.,21247.000000,8045.000000,,2.64101926663,595269,.,.,414568.000000,153540.000000,,2.70006512961,202344,.,.,121159.000000,77667.000000,,1.55998042927,90399,.,.,78462.000000,9228.000000,,8.50260078023,302526,.,.,214947.000000,66645.000000,,3.22525320729
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.935827,0.809621,0.877804,0.868161,142,392,38076769.000000,13780238.000000,0.000000,7511,.,.,4428.000000,2699.000000,,1.64060763246,7029,.,.,4048.000000,2666.000000,,1.5183795949,482,.,.,380.000000,33.000000,,11.5151515152,72474,.,.,53685.000000,16278.000000,,3.29800958349,7170,.,.,4442.000000,2639.000000,,1.68321333839,1686,.,.,1567.000000,103.000000,,15.213592233,63618,.,.,47676.000000,13536.000000,,3.52216312057
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.935295,0.810542,0.877385,0.868461,142,392,38076769.000000,13780238.000000,0.000000,7511,.,.,4428.000000,2699.000000,,1.64060763246,7025,.,.,4048.000000,2662.000000,,1.52066115702,486,.,.,380.000000,37.000000,,10.2702702703,72104,.,.,53685.000000,15908.000000,,3.37471712346,7166,.,.,4442.000000,2635.000000,,1.68576850095,1675,.,.,1567.000000,92.000000,,17.0326086957,63263,.,.,47676.000000,13181.000000,,3.61702450497
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.879758,0.844145,0.602736,0.861583,1720,2452,26604713.000000,19582480.000000,0.000000,32368,.,.,17869.000000,9351.000000,,1.91091861833,28476,.,.,15669.000000,9161.000000,,1.71040279445,3892,.,.,2200.000000,190.000000,,11.5789473684,91463,.,.,68419.000000,18961.000000,,3.6084067296,30672,.,.,20843.000000,9038.000000,,2.3061518035,5663,.,.,4595.000000,805.000000,,5.70807453416,55128,.,.,42981.000000,9118.000000,,4.71386268919
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.879665,0.844364,0.601684,0.861653,1717,2450,26604713.000000,19582480.000000,0.000000,32368,.,.,17869.000000,9351.000000,,1.91091861833,28473,.,.,15669.000000,9158.000000,,1.71096309238,3895,.,.,2200.000000,193.000000,,11.3989637306,91189,.,.,68419.000000,18687.000000,,3.66131535292,30669,.,.,20843.000000,9035.000000,,2.30691754289,5653,.,.,4595.000000,795.000000,,5.77987421384,54867,.,.,42981.000000,8857.000000,,4.8527718189
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,8813,.,.,6715.000000,2039.000000,,3.29328102011,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,8813,.,.,6715.000000,2039.000000,,3.29328102011
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,7665,.,.,6715.000000,891.000000,,7.53647586981,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,7665,.,.,6715.000000,891.000000,,7.53647586981
INDEL,*,GRCh38_AllTandemRepeats_gt100bp_slop5.bed.gz,ALL,*,QUAL,*,0.91515,0.831586,0.82899,0.87137,541,1040,119934799.000000,20704494.000000,0.000000,17313,.,.,10270.000000,5578.000000,,1.8411617067,15844,.,.,9237.000000,5504.000000,,1.67823401163,1469,.,.,1033.000000,74.000000,,13.9594594595,114929,.,.,85369.000000,25400.000000,,3.36098425197,16344,.,.,10598.000000,5438.000000,,1.94887826407,3310,.,.,2921.000000,299.000000,,9.76923076923,95275,.,.,71850.000000,19663.000000,,3.654071098
INDEL,*,GRCh38_AllTandemRepeats_gt100bp_slop5.bed.gz,PASS,*,QUAL,*,0.914919,0.83206,0.826663,0.871525,541,1040,119934799.000000,20704494.000000,0.000000,17313,.,.,10270.000000,5578.000000,,1.8411617067,15840,.,.,9237.000000,5500.000000,,1.67945454545,1473,.,.,1033.000000,78.000000,,13.2435897436,113294,.,.,85369.000000,23765.000000,,3.59221544288,16340,.,.,10598.000000,5434.000000,,1.95031284505,3298,.,.,2921.000000,287.000000,,10.1777003484,93656,.,.,71850.000000,18044.000000,,3.98193305254
INDEL,*,GRCh38_AllTandemRepeats_lt51bp_slop5.bed.gz,ALL,*,QUAL,*,0.877702,0.869295,0.431935,0.873478,5236,6264,38085246.000000,29892681.000000,0.000000,95079,.,.,50472.000000,27513.000000,,1.83447824665,83451,.,.,43935.000000,27010.000000,,1.62661977046,11628,.,.,6537.000000,503.000000,,12.9960238569,182898,.,.,127738.000000,43609.000000,,2.92916599784,90318,.,.,59519.000000,26750.000000,,2.22500934579,13580,.,.,9867.000000,2458.000000,,4.01423921888,79000,.,.,58352.000000,14401.000000,,4.05194083744
INDEL,*,GRCh38_AllTandemRepeats_lt51bp_slop5.bed.gz,PASS,*,QUAL,*,0.877523,0.869608,0.430703,0.873548,5225,6256,38085246.000000,29892681.000000,0.000000,95079,.,.,50472.000000,27513.000000,,1.83447824665,83434,.,.,43935.000000,26993.000000,,1.62764420405,11645,.,.,6537.000000,520.000000,,12.5711538462,182402,.,.,127738.000000,43113.000000,,2.96286502911,90301,.,.,59519.000000,26733.000000,,2.22642426963,13540,.,.,9867.000000,2418.000000,,4.08064516129,78561,.,.,58352.000000,13962.000000,,4.17934393353
INDEL,*,GRCh38_AllTandemRepeatsandHomopolymers_slop5.bed.gz,ALL,*,QUAL,*,0.860763,0.739622,0.520352,0.795608,23913,28578,249348603.000000,121472014.000000,0.000000,339566,.,.,186141.000000,118381.000000,,1.57238915029,292286,.,.,157596.000000,109780.000000,,1.43556203316,47280,.,.,28545.000000,8601.000000,,3.31880013952,863753,.,.,604559.000000,217986.000000,,2.77338452928,306423,.,.,189597.000000,109135.000000,,1.73727035323,107874,.,.,91811.000000,12034.000000,,7.62930031577,449456,.,.,323151.000000,96817.000000,,3.33775060165
