Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.367039,0.450105,0.419653,0.40435,172620,50382,2809068885,2547105669.000000,0.000000,526124,.,.,296733.000000,194170.000000,,1.5282123912,193108,.,.,31.000000,193046.000000,,0.000160583487873,333016,.,.,296702.000000,1124.000000,,263.96975089,736204,.,.,0.000000,736204.000000,,0.0,192309,.,.,0.000000,192309.000000,,0.0,234945,.,.,0.000000,234945.000000,,0.0,308950,.,.,0.000000,308950.000000,,0.0
INDEL,*,*,PASS,*,QUAL,*,0.367039,0.450105,0.419653,0.40435,172620,50382,2809068885,2547105669.000000,0.000000,526124,.,.,296733.000000,194170.000000,,1.5282123912,193108,.,.,31.000000,193046.000000,,0.000160583487873,333016,.,.,296702.000000,1124.000000,,263.96975089,736204,.,.,0.000000,736204.000000,,0.0,192309,.,.,0.000000,192309.000000,,0.0,234945,.,.,0.000000,234945.000000,,0.0,308950,.,.,0.000000,308950.000000,,0.0
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.371959,0.489445,0.518965,0.42269,77057,10703,83977437.000000,62855671.000000,0.000000,230208,.,.,127693.000000,86040.000000,,1.48411204091,85628,.,.,9.000000,85610.000000,,0.000105127905619,144580,.,.,127684.000000,430.000000,,296.939534884,362508,.,.,0.000000,362508.000000,,0.0,85349,.,.,0.000000,85349.000000,,0.0,89030,.,.,0.000000,89030.000000,,0.0,188129,.,.,0.000000,188129.000000,,0.0
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.371959,0.489445,0.518965,0.42269,77057,10703,83977437.000000,62855671.000000,0.000000,230208,.,.,127693.000000,86040.000000,,1.48411204091,85628,.,.,9.000000,85610.000000,,0.000105127905619,144580,.,.,127684.000000,430.000000,,296.939534884,362508,.,.,0.000000,362508.000000,,0.0,85349,.,.,0.000000,85349.000000,,0.0,89030,.,.,0.000000,89030.000000,,0.0,188129,.,.,0.000000,188129.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.357476,0.451569,0.877623,0.399051,2442,529,38076769.000000,13780238.000000,0.000000,7511,.,.,4428.000000,2699.000000,,1.64060763246,2685,.,.,1.000000,2683.000000,,0.000372717107715,4826,.,.,4427.000000,16.000000,,276.6875,48171,.,.,0.000000,48171.000000,,0.0,2662,.,.,0.000000,2662.000000,,0.0,3233,.,.,0.000000,3233.000000,,0.0,42276,.,.,0.000000,42276.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.357476,0.451569,0.877623,0.399051,2442,529,38076769.000000,13780238.000000,0.000000,7511,.,.,4428.000000,2699.000000,,1.64060763246,2685,.,.,1.000000,2683.000000,,0.000372717107715,4826,.,.,4427.000000,16.000000,,276.6875,48171,.,.,0.000000,48171.000000,,0.0,2662,.,.,0.000000,2662.000000,,0.0,3233,.,.,0.000000,3233.000000,,0.0,42276,.,.,0.000000,42276.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.286487,0.376717,0.590286,0.325464,11955,2555,26604713.000000,19582480.000000,0.000000,32368,.,.,17868.000000,9352.000000,,1.91060735672,9273,.,.,11.000000,9251.000000,,0.00118906064209,23095,.,.,17857.000000,101.000000,,176.801980198,59334,.,.,0.000000,59334.000000,,0.0,9158,.,.,0.000000,9158.000000,,0.0,15152,.,.,0.000000,15152.000000,,0.0,35024,.,.,0.000000,35024.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.286487,0.376717,0.590286,0.325464,11955,2555,26604713.000000,19582480.000000,0.000000,32368,.,.,17868.000000,9352.000000,,1.91060735672,9273,.,.,11.000000,9251.000000,,0.00118906064209,23095,.,.,17857.000000,101.000000,,176.801980198,59334,.,.,0.000000,59334.000000,,0.0,9158,.,.,0.000000,9158.000000,,0.0,15152,.,.,0.000000,15152.000000,,0.0,35024,.,.,0.000000,35024.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4404,.,.,0.000000,4404.000000,,0.0,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4404,.,.,0.000000,4404.000000,,0.0
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4404,.,.,0.000000,4404.000000,,0.0,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4404,.,.,0.000000,4404.000000,,0.0
