Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.912135,0.457729,0.306108,0.609565,25563,47275,2809068885,2547105669.000000,0.000000,526114,.,.,296723.000000,194170.000000,,1.52816088994,479887,.,.,264255.000000,186796.000000,,1.41467162038,46227,.,.,32468.000000,7374.000000,,4.40303770003,1562946,.,.,1185469.000000,338407.000000,,3.50308652008,496414,.,.,301683.000000,185953.000000,,1.62236156448,588101,.,.,556869.000000,28933.000000,,19.2468461618,478431,.,.,326917.000000,123521.000000,,2.64665117672
INDEL,*,*,PASS,*,QUAL,*,0.910092,0.458509,0.302873,0.609799,25122,47078,2809068885,2547105669.000000,0.000000,526114,.,.,296723.000000,194170.000000,,1.52816088994,478812,.,.,264255.000000,185721.000000,,1.4228600966,47302,.,.,32468.000000,8449.000000,,3.8428216357,1549718,.,.,1185469.000000,325179.000000,,3.6455890448,495351,.,.,301683.000000,184890.000000,,1.63168911245,585000,.,.,556869.000000,25832.000000,,21.5573319913,469367,.,.,326917.000000,114457.000000,,2.85624295587
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.907545,0.760501,0.501724,0.827542,12549,8622,83977437.000000,62855671.000000,0.000000,230209,.,.,127694.000000,86040.000000,,1.48412366341,208925,.,.,113894.000000,81219.000000,,1.40230734188,21284,.,.,13800.000000,4821.000000,,2.86247666459,572632,.,.,382800.000000,165217.000000,,2.31695285594,216993,.,.,131974.000000,80880.000000,,1.63172601385,68336,.,.,57850.000000,8862.000000,,6.52787181223,287303,.,.,192976.000000,75475.000000,,2.55682013912
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.906172,0.761209,0.498864,0.827389,12436,8592,83977437.000000,62855671.000000,0.000000,230209,.,.,127694.000000,86040.000000,,1.48412366341,208609,.,.,113894.000000,80903.000000,,1.40778463098,21600,.,.,13800.000000,5137.000000,,2.68639283629,568010,.,.,382800.000000,160595.000000,,2.38363585417,216678,.,.,131974.000000,80565.000000,,1.63810587724,67972,.,.,57850.000000,8498.000000,,6.80748411391,283360,.,.,192976.000000,71532.000000,,2.69775764693
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.906537,0.629707,0.855159,0.74318,386,423,38076769.000000,13780238.000000,0.000000,7511,.,.,4428.000000,2699.000000,,1.64060763246,6809,.,.,3881.000000,2622.000000,,1.48016781083,702,.,.,547.000000,77.000000,,7.1038961039,76277,.,.,54703.000000,19058.000000,,2.87034316298,6957,.,.,4280.000000,2596.000000,,1.64869029276,4091,.,.,3681.000000,402.000000,,9.15671641791,65229,.,.,46742.000000,16060.000000,,2.9104607721
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.90454,0.631034,0.853679,0.743429,380,420,38076769.000000,13780238.000000,0.000000,7511,.,.,4428.000000,2699.000000,,1.64060763246,6794,.,.,3881.000000,2607.000000,,1.48868431147,717,.,.,547.000000,92.000000,,5.94565217391,75184,.,.,54703.000000,17965.000000,,3.04497634289,6942,.,.,4280.000000,2581.000000,,1.6582719876,4059,.,.,3681.000000,370.000000,,9.94864864865,64183,.,.,46742.000000,15014.000000,,3.11322765419
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.874911,0.776124,0.577326,0.822562,2391,1766,26604713.000000,19582480.000000,0.000000,32369,.,.,17869.000000,9352.000000,,1.91071428571,28320,.,.,15485.000000,8867.000000,,1.74636291869,4049,.,.,2384.000000,485.000000,,4.91546391753,93959,.,.,69085.000000,21014.000000,,3.2875701913,30823,.,.,21246.000000,8755.000000,,2.42672758424,8891,.,.,7027.000000,1711.000000,,4.10695499708,54245,.,.,40812.000000,10548.000000,,3.86916951081
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.873552,0.777365,0.575413,0.822657,2350,1761,26604713.000000,19582480.000000,0.000000,32369,.,.,17869.000000,9352.000000,,1.91071428571,28276,.,.,15485.000000,8823.000000,,1.75507197098,4093,.,.,2384.000000,529.000000,,4.50661625709,93253,.,.,69085.000000,20308.000000,,3.40186133543,30779,.,.,21246.000000,8711.000000,,2.43898519114,8815,.,.,7027.000000,1635.000000,,4.29785932722,53659,.,.,40812.000000,9962.000000,,4.09676771733
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,5551,.,.,3339.000000,2142.000000,,1.55882352941,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,5551,.,.,3339.000000,2142.000000,,1.55882352941
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4513,.,.,3339.000000,1104.000000,,3.02445652174,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4513,.,.,3339.000000,1104.000000,,3.02445652174
INDEL,*,GRCh38_AllTandemRepeats_gt100bp_slop5.bed.gz,ALL,*,QUAL,*,0.894415,0.69473,0.80124,0.782026,1009,979,119934799.000000,20704494.000000,0.000000,17313,.,.,10270.000000,5578.000000,,1.8411617067,15485,.,.,8987.000000,5361.000000,,1.67636634956,1828,.,.,1283.000000,217.000000,,5.91244239631,116175,.,.,83019.000000,29059.000000,,2.85691180013,16042,.,.,10441.000000,5301.000000,,1.96962837201,7049,.,.,6155.000000,843.000000,,7.30130486358,93084,.,.,66423.000000,22915.000000,,2.89866899411
INDEL,*,GRCh38_AllTandemRepeats_gt100bp_slop5.bed.gz,PASS,*,QUAL,*,0.89274,0.696127,0.797858,0.782268,992,974,119934799.000000,20704494.000000,0.000000,17313,.,.,10270.000000,5578.000000,,1.8411617067,15456,.,.,8987.000000,5332.000000,,1.68548387097,1857,.,.,1283.000000,246.000000,,5.21544715447,113796,.,.,83019.000000,26680.000000,,3.11165667166,16013,.,.,10441.000000,5272.000000,,1.98046282246,6990,.,.,6155.000000,784.000000,,7.85076530612,90793,.,.,66423.000000,20624.000000,,3.22066524438
INDEL,*,GRCh38_AllTandemRepeats_lt51bp_slop5.bed.gz,ALL,*,QUAL,*,0.881057,0.831843,0.415414,0.855743,6872,3716,38085246.000000,29892681.000000,0.000000,95079,.,.,50472.000000,27513.000000,,1.83447824665,83770,.,.,43911.000000,26047.000000,,1.68583714055,11309,.,.,6561.000000,1466.000000,,4.47544338336,188460,.,.,130285.000000,47252.000000,,2.75723778888,91645,.,.,61443.000000,25807.000000,,2.3808656566,18526,.,.,13101.000000,4871.000000,,2.68959145966,78289,.,.,55741.000000,16574.000000,,3.36315916496
INDEL,*,GRCh38_AllTandemRepeats_lt51bp_slop5.bed.gz,PASS,*,QUAL,*,0.879311,0.833009,0.413051,0.855534,6768,3702,38085246.000000,29892681.000000,0.000000,95079,.,.,50472.000000,27513.000000,,1.83447824665,83604,.,.,43911.000000,25881.000000,,1.69665005216,11475,.,.,6561.000000,1632.000000,,4.02022058824,187103,.,.,130285.000000,45895.000000,,2.83876239242,91481,.,.,61443.000000,25643.000000,,2.39609250088,18339,.,.,13101.000000,4684.000000,,2.79696840307,77283,.,.,55741.000000,15568.000000,,3.58048561151
INDEL,*,GRCh38_AllTandemRepeatsandHomopolymers_slop5.bed.gz,ALL,*,QUAL,*,0.89952,0.771718,0.507468,0.830732,20313,13405,249348603.000000,121472014.000000,0.000000,339570,.,.,186144.000000,118381.000000,,1.57241449219,305450,.,.,164795.000000,111957.000000,,1.47194905187,34120,.,.,21349.000000,6424.000000,,3.32331880448,847911,.,.,575606.000000,234247.000000,,2.45726092543,322287,.,.,202300.000000,111319.000000,,1.81729983201,95336,.,.,78604.000000,14524.000000,,5.41200771137,430288,.,.,294702.000000,108404.000000,,2.71855282093
INDEL,*,GRCh38_AllTandemRepeatsandHomopolymers_slop5.bed.gz,PASS,*,QUAL,*,0.898033,0.772586,0.504061,0.830599,20075,13360,249348603.000000,121472014.000000,0.000000,339570,.,.,186144.000000,118381.000000,,1.57241449219,304945,.,.,164795.000000,111452.000000,,1.47861859814,34625,.,.,21349.000000,6929.000000,,3.08110838505,839829,.,.,575606.000000,226165.000000,,2.54507107643,321785,.,.,202300.000000,110817.000000,,1.82553218369,94719,.,.,78604.000000,13907.000000,,5.6521176386,423325,.,.,294702.000000,101441.000000,,2.90515669207
INDEL,*,GRCh38_BadPromoters.bed.gz,ALL,*,QUAL,*,0.976744,0.569536,0.494983,0.719522,2,0,197273.000000,149914.000000,0.000000,86,.,.,50.000000,32.000000,,1.5625,84,.,.,49.000000,31.000000,,1.58064516129,2,.,.,1.000000,1.000000,,1.0,299,.,.,204.000000,88.000000,,2.31818181818,86,.,.,53.000000,31.000000,,1.70967741935,65,.,.,63.000000,2.000000,,31.5,148,.,.,88.000000,55.000000,,1.6
INDEL,*,GRCh38_BadPromoters.bed.gz,PASS,*,QUAL,*,0.976744,0.569536,0.494983,0.719522,2,0,197273.000000,149914.000000,0.000000,86,.,.,50.000000,32.000000,,1.5625,84,.,.,49.000000,31.000000,,1.58064516129,2,.,.,1.000000,1.000000,,1.0,299,.,.,204.000000,88.000000,,2.31818181818,86,.,.,53.000000,31.000000,,1.70967741935,65,.,.,63.000000,2.000000,,31.5,148,.,.,88.000000,55.000000,,1.6
INDEL,*,GRCh38_HG001_GIABv3.2.2_compoundhet_slop50.bed.gz,ALL,*,QUAL,*,0.860377,0.852698,0.521392,0.85652,3420,1836,8094883.000000,4475199.000000,0.000000,33039,.,.,10703.000000,10546.000000,,1.01488716101,28426,.,.,9231.000000,9679.000000,,0.953714226676,4613,.,.,1472.000000,867.000000,,1.69780853518,84539,.,.,54894.000000,21486.000000,,2.55487294052,34501,.,.,21876.000000,9623.000000,,2.27330354359,5960,.,.,3633.000000,1906.000000,,1.90608604407,44078,.,.,29385.000000,9957.000000,,2.95119011751
INDEL,*,GRCh38_HG001_GIABv3.2.2_compoundhet_slop50.bed.gz,PASS,*,QUAL,*,0.858622,0.853144,0.520465,0.855874,3393,1832,8094883.000000,4475199.000000,0.000000,33039,.,.,10703.000000,10546.000000,,1.01488716101,28368,.,.,9231.000000,9621.000000,,0.959463673215,4671,.,.,1472.000000,925.000000,,1.59135135135,84192,.,.,54894.000000,21139.000000,,2.59681158049,34444,.,.,21876.000000,9566.000000,,2.28684925779,5929,.,.,3633.000000,1875.000000,,1.9376,43819,.,.,29385.000000,9698.000000,,3.03000618684
INDEL,*,GRCh38_HG001_GIABv3.2.2_varswithin50bp.bed.gz,ALL,*,QUAL,*,0.920007,0.81217,0.41985,0.862732,3326,6565,62683977.000000,53388320.000000,0.000000,75719,.,.,37554.000000,33469.000000,,1.1220532433,69662,.,.,33523.000000,32329.000000,,1.03693278481,6057,.,.,4031.000000,1140.000000,,3.53596491228,150730,.,.,92765.000000,53474.000000,,1.73476829861,71021,.,.,37880.000000,31934.000000,,1.18619653034,16425,.,.,13639.000000,2507.000000,,5.44036697248,63284,.,.,41246.000000,19033.000000,,2.16707823254
INDEL,*,GRCh38_HG001_GIABv3.2.2_varswithin50bp.bed.gz,PASS,*,QUAL,*,0.917894,0.812551,0.418836,0.862016,3287,6545,62683977.000000,53388320.000000,0.000000,75719,.,.,37554.000000,33469.000000,,1.1220532433,69502,.,.,33523.000000,32169.000000,,1.04209021107,6217,.,.,4031.000000,1300.000000,,3.10076923077,150066,.,.,92765.000000,52810.000000,,1.75658019315,70865,.,.,37880.000000,31778.000000,,1.19201963623,16348,.,.,13639.000000,2430.000000,,5.61275720165,62853,.,.,41246.000000,18602.000000,,2.21728846361
INDEL,*,GRCh38_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_alldifficultregions.bed.gz,ALL,*,QUAL,*,0.900151,0.685311,0.466442,0.778175,21769,19978,663294362.000000,433744676.000000,0.000000,381608,.,.,209801.000000,136656.000000,,1.53524909261,343505,.,.,185122.000000,129608.000000,,1.42832232578,38103,.,.,24679.000000,7048.000000,,3.50156072645,984695,.,.,678493.000000,267468.000000,,2.5367258887,360057,.,.,222560.000000,128777.000000,,1.72825892822,165335,.,.,143552.000000,19546.000000,,7.34431597258,459303,.,.,312381.000000,119145.000000,,2.62185572202
