Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.977013,0.972143,0.450299,0.974572,6499,2992,2809068885,2547105669.000000,0.000000,526114,.,.,296723.000000,194170.000000,,1.52816088994,514020,.,.,288582.000000,193526.000000,,1.49117947976,12094,.,.,8141.000000,644.000000,,12.6413043478,996205,.,.,638673.000000,322894.000000,,1.97796490489,532360,.,.,330097.000000,192640.000000,,1.71354339701,15255,.,.,8728.000000,5992.000000,,1.45660881175,448590,.,.,299848.000000,124262.000000,,2.41303053226
INDEL,*,*,PASS,*,QUAL,*,0.976796,0.972347,0.44856,0.974566,6421,2987,2809068885,2547105669.000000,0.000000,526114,.,.,296723.000000,194170.000000,,1.52816088994,513906,.,.,288582.000000,193412.000000,,1.49205840382,12208,.,.,8141.000000,758.000000,,10.7401055409,992643,.,.,638673.000000,319332.000000,,2.00002818383,532246,.,.,330097.000000,192526.000000,,1.71455803372,15137,.,.,8728.000000,5874.000000,,1.48586993531,445260,.,.,299848.000000,120932.000000,,2.4794760692
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.978263,0.97627,0.53474,0.977266,2910,1179,83977437.000000,62855671.000000,0.000000,230210,.,.,127695.000000,86040.000000,,1.48413528591,225206,.,.,124235.000000,85631.000000,,1.45081804487,5004,.,.,3460.000000,409.000000,,8.45965770171,515557,.,.,329110.000000,166160.000000,,1.98068127106,234176,.,.,144327.000000,85278.000000,,1.69242946598,5692,.,.,3008.000000,2402.000000,,1.25228975853,275689,.,.,181775.000000,78480.000000,,2.31619520897
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.978094,0.976433,0.534184,0.977263,2875,1176,83977437.000000,62855671.000000,0.000000,230210,.,.,127695.000000,86040.000000,,1.48413528591,225167,.,.,124235.000000,85592.000000,,1.4514791102,5043,.,.,3460.000000,448.000000,,7.72321428571,514770,.,.,329110.000000,165373.000000,,1.99010721218,234137,.,.,144327.000000,85239.000000,,1.69320381516,5651,.,.,3008.000000,2361.000000,,1.27403642524,274982,.,.,181775.000000,77773.000000,,2.33725071683
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.978032,0.97931,0.888028,0.978671,69,36,38076769.000000,13780238.000000,0.000000,7511,.,.,4428.000000,2699.000000,,1.64060763246,7346,.,.,4301.000000,2691.000000,,1.59829059829,165,.,.,127.000000,8.000000,,15.875,68633,.,.,49138.000000,16927.000000,,2.90293613753,7526,.,.,4774.000000,2664.000000,,1.79204204204,159,.,.,87.000000,69.000000,,1.26086956522,60948,.,.,44277.000000,14194.000000,,3.11941665492
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.977633,0.979557,0.887593,0.978594,67,36,38076769.000000,13780238.000000,0.000000,7511,.,.,4428.000000,2699.000000,,1.64060763246,7343,.,.,4301.000000,2688.000000,,1.60007440476,168,.,.,127.000000,11.000000,,11.5454545455,68323,.,.,49138.000000,16617.000000,,2.95709213456,7523,.,.,4774.000000,2661.000000,,1.79406238256,157,.,.,87.000000,67.000000,,1.29850746269,60643,.,.,44277.000000,13889.000000,,3.18791849665
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.947264,0.951653,0.603663,0.949454,1007,503,26604713.000000,19582480.000000,0.000000,32369,.,.,17869.000000,9352.000000,,1.91071428571,30662,.,.,16955.000000,9315.000000,,1.82018250134,1707,.,.,914.000000,37.000000,,24.7027027027,88667,.,.,64498.000000,20383.000000,,3.16430358632,33443,.,.,23346.000000,9190.000000,,2.54036996736,1699,.,.,742.000000,895.000000,,0.82905027933,53525,.,.,40410.000000,10298.000000,,3.92406292484
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.947079,0.951808,0.6031,0.949437,1002,502,26604713.000000,19582480.000000,0.000000,32369,.,.,17869.000000,9352.000000,,1.91071428571,30656,.,.,16955.000000,9309.000000,,1.8213556773,1713,.,.,914.000000,43.000000,,21.2558139535,88511,.,.,64498.000000,20227.000000,,3.18870816236,33437,.,.,23346.000000,9184.000000,,2.54202961672,1693,.,.,742.000000,889.000000,,0.834645669291,53381,.,.,40410.000000,10154.000000,,3.9797124286
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,6863,.,.,2745.000000,4010.000000,,0.684538653367,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,6863,.,.,2745.000000,4010.000000,,0.684538653367
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,5096,.,.,2745.000000,2243.000000,,1.2238074008,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,5096,.,.,2745.000000,2243.000000,,1.2238074008
